"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"18",18,0,0,0,0,0,0,0,0,0,0,0.269258662268513,0.121784309133801,0,0,0,0,0,0.673972893381532,0,0.0476902225836532,0,0.423260907558443,0.0123863352428999,0,0.733909419602145,0.0324672354016144,0.23
"19",19,0,0,0,0.0486287848754529,0,0,0.123563932248721,0,0,0.328787213852927,0.850977626334132,0.100513214553651,0,0,0,0,0,0.861069755309492,0,0.0577926673810098,0,0.481476025203986,0.0566945863588193,0.0277149656907512,0.842845092796163,0.268421852107839,0.14
"20",20,0,0,0,0,0,0,0,0,0,0,0.797958970184049,0.302577353376274,0,0,0,0,0,0.896560319653907,0,0.0935175306850059,0,0.626005591110013,0.16748111157253,0.0659039449690657,0.868024519064009,0.299022001494645,0.24
"21",21,0,0,0,0.0281876493644526,0,0,0.801714488909015,0,0,0,0.764918266651039,0.315392376573435,0,0,0,0,0,0.801629428207252,0,0,0,0.29368771183821,0,0,0.81823355503697,0.12011339944664,0.31
"22",22,0,0,0,0.0627205447273974,0,0,0.53366270215472,0,0,0,0.839356431707863,0.755305946142846,0,0,0,0,0,0.786962391131428,0,0.0483099944363358,0,0.474387381651316,0.0633270112723692,0.0796316987201851,0.903820229108899,0.360329083785781,0.2
"23",23,0,0,0,0.42055249964216,0,0,0.411964086300674,0,0,0,0.665677063282067,0.706817033745547,0,0,0,0,0,0.57625750942324,0,0.186904414905202,0,0.437320526315128,0.0151014638588123,0,0.8202634716619,0.125064438762883,0.24
"24",24,0,0,0,0.62102468661904,0,0,0.659691220020555,0,0,0,0.431552214069609,0.61785530532445,0,0,0,0,0,0.737537952643731,0,0.000836247494327876,0,0.278387475684565,0,0,0.802593693662974,0.133306012601529,0.27
"25",25,0,0,0,0.373900081617512,0,0,0.399948004909185,0,0,0,0.652727857993131,0.229577827230117,0,0,0,0,0,0.445625519161824,0,0,0,0.264582452678904,0,0.035708377802631,0.861407857144243,0.463904810038549,0.3
"26",26,0,0,0,0.639715739794202,0,0,0.66582977581981,0,0,0,0.628478910663103,0.108990002909969,0,0,0,0,0,0.72215075872796,0,0,0,0.228649852559065,0,0,0.774951363514532,0.0575584891782608,0.38
"27",27,0,0,0,0.338845969044709,0,0,0.636711755791467,0,0,0,0.546858417326964,0.183922687344207,0,0,0,0,0,0.717726997475269,0,0,0,0.21237894506828,0,0,0.800140285408456,0.160464767177992,0.35
"28",28,0,0,0,0.783326541473666,0,0,0.794275009657508,0,0,0,0.790203145068534,0.275643819957347,0,0,0,0,0,0.847408039325126,0,0,0,0.315021831341918,0,0.005299137541402,0.856031033279305,0.216036107229395,0.28
"29",29,0,0,0,0.447307366896068,0,0,0.813431158559977,0,0,0,0.843002475318771,0.794942336143482,0,0,0,0,0,0.804130571786623,0,0.105897169083211,0,0.417432864893157,0.0315508982997429,0.104299344189537,0.91491349412081,0.463546548813418,0.2
"30",30,0,0,0,0.416985590270565,0,0,0.460600535126203,0,0,0,0.824007150059892,0.62139895988013,0,0,0,0,0,0.727528368384284,0,0.0513755573200105,0,0.27312905631523,0.0159443851957983,0.145801874574765,0.935890453773105,0.707993700184679,0.27
"31",31,0,0,0,0.696649017533521,0,0,0.467174976411074,0,0,0,0.661576951211488,0.222992884334687,0,0,0,0,0,0.726404012744071,0,0.0429185685210451,0,0.401339101634596,0.00094013011247753,0,0.77254118587243,0.0619999774706127,0.28
"32",32,0,0,0,0.668967551025898,0,0,0.0692689146463925,0,0,0,0.795917633643873,0.324097994154178,0,0,0,0,0,0.827649670215616,0,0.0611494758042581,0,0.489846947242142,0.0656421213332659,0.0269145365677068,0.853688953929656,0.2486681142429,0.21
