"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"20","LTi",0,0.154725722365469,0,0,1.77335983757267,0,0,0,0,0,2.10533241243853,0,2.85918959260112,0.123122401949739,0,0.703082195862591,0,0,0,2.08514688981658,0,3.9861459229394,1.60865965480225,2.46608116261783,1.49778081200218,0,0.44
"21","Ly6C+ CD11b+ Monocytes (MHC-)",0,2.03056601711807,6.25022411471416,2.15024867757973,0,0,0,0,0,0,0,0,0,0.156535871718669,4.49315158198321,0,0,0,0,0.397651245621313,0,3.30781028185591,0.208970474678224,0,0.0925332961852319,0,0.2
"22","Ly6C+ CD11b+ Monocytes (MHC+)",0.656154456830457,1.08448097365714,5.37675350436317,1.31337362573955,0,0,0,0,0,0,0.787765321643633,0,0,0.325148939549043,4.45740461266843,0,0,0.0589998050967954,0,0.424036863388015,0.147613207527295,3.79115781514734,0.736741343477141,0.0495365105979809,5.11707929066392,0.173186674007202,0.22
"23","Ly6C+ CD11c+ Monocytes (MHC-)",3.37272928027545,0.576583008558669,4.01025175449499,0.176087128633799,0,0.353605298663572,0,0,0,0,1.23105620538208,0,0,0,0,0,0,0,0,0.274204734377468,0,0.642449776212232,0,0,0.0905598900384921,0,0.54
"24","Ly6C+ CD11c+ Monocytes (MHC+)",3.4840368716644,0.731666291261964,4.7826052516389,0.694130319388036,0,0,0,0,0,0.16732030881862,1.44424886419617,0,0,0,0,0,0,0,0,0.43824183031164,0,2.86533127325783,0.785432705484227,0,3.50302253071895,0,0.1
"25","Ly6C+ CD8+ T cells",0,0.00802384945734116,2.7163006469757,0.0385243335683245,0.0555174442346639,0,0,3.28334070875267,0,3.4945192116746,0,0,0,0,0,0,0,0,1.02679798761983,0.0339895452891717,0,0.59180263943147,0,0,0,0,0.18
"26","Ly6C+ CD8+ T cells (CD44+)",0,0.763828103727218,3.6879994140123,0.263049249061184,0.415022915849942,0,0,3.78295911878519,0,4.15234403435493,0.136970040130209,0,0,0,0,0,0,0,1.28938995174022,0.286065259735715,0,2.52392130433148,0.0692688714945408,0,0,0,0.12
"27","Ly6C+ CD8+ T cells (CD62L+ CD44+)",0,0.179740261469767,3.13178199496401,3.16420589249556,0.193920590593956,0,0,3.68525765546816,0,3.95520254927214,0,0,0,0,0,0,0,0,1.01535192675578,0.165152828676701,0,2.03443703450468,0,0,0,0,0.49
"28","Ly6C+ CD8+ T cells (CD62L+)",0,0.223349191418517,3.46920378927446,3.39504937360212,0.269569068477633,0,0,3.86612773804003,0,4.11080673144854,0,0,0,0,0,0,0,0,1.49228297754199,0.238202289677561,0,0.739290186235408,0,0,0,0,0.22
"29","Ly6C+ Monocytes",0,0.793238183915852,3.80172333951743,0.205149447128083,0,0.223542658152029,0,0,0,0,1.11115997891887,0,0,0,0,0,0,0,0,0.214900825984871,0,1.44731914429518,0,0,0.0819225556530928,0,0.7
"30","Ly6C+ Monocytes (MHC+)",0,0.981221251884516,5.07465165797984,0.567879225655078,0.0107898756839306,0,0,0,0,0,1.75098068999657,0,1.85093270667731,0,0,0,0,0,0,0.393042665089362,0,2.84850012220969,0.321462946310753,0,3.68795080115655,0,0.85
"31","Macrophages (M2)",2.29474047395244,0,0.200168561922829,0.46075161709461,0,0.360274386728714,0,0,0,0,2.01164394763179,0,0,1.14430278174211,4.14894233439884,0,0,0,0,0.606397642688964,3.65715655088634,4.27078912408847,1.87607908120751,0.623707136392921,6.09183738602673,0.774932736899322,1.17
"32","Mast cells",0,0,0,0,0,0.989840168328769,0,0,0,0,0,0,0.397642789819383,0,0,0,0,0,0,0.204373792529216,0,3.62600187599232,0.971388944352654,3.42253971330272,1.09587046563217,2.20973904469296,0.09
"33","MHC+ cells",0,0,0,0,0,0,0,0,0,0,0.386233294093478,0,0,0,0,0,0,0.0936778667763375,0,0,0,0,0,0,3.24185244072579,0,2.29
"34","Mono/Macro (M2)",0,0,0,0,0,0.0196683972653723,0,0,0,0,0.939785272024408,0,0,0.19389131070045,2.16395590318777,0,0,0,0,0.184319788041512,3.23783790840575,2.01179222632458,0.411444235090952,0,4.39657434093903,0.0757369629419345,0.43
"35","Neutrophils",0,0,3.04765743806666,0.6522239132634,0,0,0,0,0,0,0,0,0,0,4.02634625609413,0,3.52905564843708,0,0,0,0,2.63018789966284,0.0300998430116468,0,0,0,0.14
"36","Neutrophils?",0.304603582810156,0,0,0.75394842253116,0,0.481795813865854,0,0,0,0,0,0,0,0.609254897437073,4.35612962548376,0,0.827998191884415,0,0,0.517473631443091,0,5.07846564882263,2.02344886274189,0.158301875581304,0,0,0.53
"37","NK",0.0909524674683694,0.112462570892196,0,0.25239514676639,1.07515114796287,2.48622481911641,0,0,0,0,0.483501148043136,0,0,0,0.101656894264232,0,0,0,0,0.435526915627565,0,1.88439325826386,0,0,0,0,0.23
"38","Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356585564406723,0,0,0,0,1.04
