"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"199",199,0,0,0,0,0,0,0,0,0,1.4218258579189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
"200",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27
"201",201,0,0,4.0622108670524,2.04309905230892,0,0,1.88499567367651,0,0,1.19768172525923,0.684130945643298,0,0,2.03718473653595,0,0,0,0.234017724415103,0,0,4.99620605436871,0.848410101031664,0,0,0,0,0.15
"202",202,0.347406903004523,0,3.70685205222468,1.77721109936505,0,0.0566865371110243,1.94758005914068,0,0.431389069944518,0.87117284054249,1.03233711735803,0,0.0269739222327288,1.04924427553201,0.0895577885204873,0,0.288229248830951,1.56626503107374,0.0395593451819955,0.137714148802295,5.14238791470586,1.35536567205878,0.0913015163507843,1.32740567041223,0.0345439929422956,0.0679472283875729,0.18
"203",203,0,0,3.7685434169798,1.6959497396191,0,0,1.21331927302191,0,0,0.401585169960627,0.631511932022202,0,0,0.272205315419754,0,0,0,0.219352732719244,0,0,4.50353594623714,1.87541857163129,0,0.152881618160707,0,0,0.2
"204",204,0,0,2.03241882534145,1.47230524746089,0,0,0.721292189517945,0,0,0.362411312368456,0.352367975208373,0,0,0.22494075562534,0,0,0,0.129637685003094,0,0,4.09305081815786,1.67916465975591,0,0,0,0,0.3
"205",205,0.00279553755205403,0,0,2.32565514500646,0,0,2.2543392460767,0,0,1.37339431430654,1.19174424336804,0,0,0.249074561171937,0,0,0,0.176949430325024,0,0,5.33303557295162,1.47017246210682,0,0,0,0,0.28
"206",206,0.18083622172985,0,0,2.16608706091122,0,0,2.52230678217967,0,0.0261366142905021,1.45516064500414,0.337851008632912,0,0,0.555484428192736,0,0,0,0.870257917965484,0,0,5.69196958082566,1.03142538017158,0,0,0,0,0.22
"207",207,0,0,0,1.73060483332259,0,0,1.99238434242675,0,0,1.06932434423701,0.142484215987054,0,0,0,0,0,0,0.130812181446024,0,0,5.03974225242612,1.17693139571265,0,0,0,0,0.41
"208",208,0,0,0,2.24154683658796,0,0,2.07659742488249,0,0,1.93872367757246,0.307512955152947,0,0,0.163231184666852,0,0,0,0.164131993979499,0,0,5.03807370099663,1.41816851445769,0,0,0,0,0.29
"209",209,0,0,0,2.04311232397527,0,0,1.425627369499,0,0,1.06346209009769,0.169294178663485,0,0,1.14733915726197,0,0,0,0.0154254115682036,0,0,4.58745201988889,1.17535896852273,0,0,0,0,0.39
"210",210,0,0,0,1.81215167931885,0,0,0.461566653013444,0,0,1.34765769965151,0.236014294219075,0,0,1.33434782713658,0,0,0,0,0,0,4.33744737301864,0.318139389909081,0,0,0,0,0.25
"211",211,0,0,0,1.34253848579704,0,0,0.173586303274488,0,0,1.16616391535736,0.0323955791511983,0,0,0,0,0,0,0,0,0,3.63525071280975,0.0548157199108197,0,0,0,0,0.34
"212",212,0,0,0,0.639414126963801,0,0,0.773470601096305,0,0,2.20842058614928,0.0335838409224974,0,0,0,0,0,0,0,0,0,4.16783321681963,0,0,0,0,0,0.23
"213",213,0,0,0,0.165127015017903,0,0,0.0240630642244137,0,0,1.09286735430448,0,0,0,0,0,0,0,0,0,0,2.83777269245696,0,0,0,0,0,0.28
"214",214,0,0,0,0.617686986395088,0,0,0.588020426630086,0,0,0.234337331535994,0,0,0,0,0,0,0,0,0,0,3.86656951844854,0.167737455472047,1.51895716465428,0,0,0,0.25
"215",215,0,0,0,0.335690901235007,0,0,0.0333779850247084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04480293243169,1.01214071608983,0,0,0,0,0.36
"216",216,0,0,0,0.00190284752008212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53343854779866,0,0,0,0,0,0.54
"217",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67383212745693,0,0,0,0,0,0.49
"218",218,0,0.185377892608977,0,0,2.79976310227453,0,0,0,0,0.498354052930761,0,0.0101381494871264,0,0,0,0,0,0,0,0,0.630960217567781,0,0,0,0,0,0.13
"219",219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861222688790903,0,0,0,0,0,0.48
"220",220,0,0,0,0.604944486330224,0,0,0,0,0,0.0333143252938627,0,0,0,1.66222598307183,0,0,0,0,0,0,0.858654565287209,0.227205830436968,0,0,0,0,0.09
"221",221,0.0654789224110716,0,2.09943834719614,2.00099680169311,0,0,2.13316880602567,0,0,0.989355834072587,0.667490468129749,0,0,1.97827760219947,0,0,0,0.57623740823163,0,0,5.28239260086388,0.462443347578395,0,0,0,0,0.26
"222",222,0,0,1.83145563926206,2.00164758980005,0,0,1.63307744351827,0,0,1.54851454805192,0.560756321926137,0,0,1.77962681320396,0,0,0,0.212998313060405,0,0,4.69920588088813,1.91780432315139,0,0,0,0,0.2
"223",223,0.0917253295378175,0,2.65309430108352,2.22283225812818,0,0,2.23898131613525,0,0.133990268146694,1.66164322644925,0.90788442061825,0,0,0.347205883596087,0,0,0,0.719415413090073,0,0,5.26634226336192,2.27980887270779,0,0.188118518787499,0,0,0.2
"224",224,0.000774517065709413,0,1.93964519536199,1.86787636706984,0,0,1.93863107255948,0,0,0.34366904585434,0.552590271278149,0,0,0.315745000027962,0,0,0,0.462926308621335,0,0,5.02320764775519,1.68226591672102,0,0,0,0,0.33
