"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"123",123,0,0.405134328663072,0.514588486827336,0,0.622216285994424,0,0.358042081292029,0,0.141394801895629,0.346691986196317,0,0,0,0,0,0,0.191393652595225,0.115024302251296,0,0,0.758780529828345,0,0,0,0.0658026380756385,0,0.14
"124",124,0,0.462104542554808,0.107000147320803,0,0.167186589971514,0,0.234602686379285,0,0.039899097012043,0.325325187456472,0,0,0,0,0,0,0,0.0090205670313888,0,0,0.717947401410071,0,0,0,0,0,0.16
"125",125,0,0,0,0.232817013749492,0,0,0.42094373405959,0,0,0.222099437954177,0,0,0,0,0,0,0,0,0,0,0.589622661005276,0.00962705954543105,0,0,0,0,0.3
"126",126,0,0,0,0.634690073410476,0,0,0.420995874340303,0,0,0.220118235060458,0.0717372026981455,0,0,0.00521059607589705,0,0,0,0,0,0,0.641134786548067,0.043803671251189,0,0,0,0,0.36
"127",127,0.00814501873118508,0,0,0.390399995780945,0,0,0.612224254613523,0,0.0874267648129725,0.519173225027038,0.109366830514705,0,0,0,0,0,0,0.143410890516875,0,0,0.8238086477155,0,0,0,0,0,0.21
"128",128,0,0,0,0.778267737434768,0,0,0.474402060635194,0,0.139328450491841,0.599669146763428,0.0806636385392847,0,0,0,0,0,0,0.0585847219832907,0,0,0.77429830482948,0,0,0,0,0,0.19
"129",129,0.0198464411717603,1,0.151906583810799,0.0377227543340078,0.0700178821042925,0.0910836797485197,0.247601912199644,0,0.192953065175134,0.769573465661127,0.0234109164094184,0,0,0.50434722616582,0,0,0.413881205379729,0.104996174322443,0,0,0.824627436238895,0,1,0,0.14482638558405,0.835685669787857,0.08
"130",130,0.0239671344929346,0.63966869468469,0,0.0529963446013432,0,0,0.51275023836607,0,0.208372124536985,0.690271163552476,0,0,0,0.106615750487938,0.0298531548399912,0,0,0.102272164688313,0,0,0.815977258597314,0,0.755415495580508,0,0.0508132211211216,0.0949373648546537,0.08
"131",131,0,0,0,0,0,0,0.591022083690477,0,0.00146350431277886,0.410480004296375,0,0,0,0.336206654817711,0.839965106483389,0,0.0310731751284527,0,0,0.0363749345618174,0.552958181234626,0,1,0,0.113988595345387,1,0.15
"132",132,0,0,0,0,0,0,0.149470991659802,0,0,0.353090726949891,0,0,0,0.0239956939919949,0.727151379905873,0,0,0,0,0,0.41499432710973,0,0.825308254539551,0,0,0.240258632633664,0.16
